EnqueuedTimeUtc,deviceId,humidity,temparature,irTemparature
16/02/2023 13:41:57,290EC1B,83,14,10
16/02/2023 13:41:57,290EF53,83,14,12
16/02/2023 13:41:58,290F190,88,13,12
16/02/2023 13:41:59,290F39C,84,13,11
16/02/2023 13:41:59,290F362,89,12,11
16/02/2023 13:41:59,290ED74,85,13,13
16/02/2023 13:42:00,2908E26,84,14,13
16/02/2023 13:42:00,2909460,84,13,12
16/02/2023 13:42:00,290EAD5,83,14,12
16/02/2023 13:42:00,2908BE4,82,14,11
16/02/2023 13:42:01,2908FDA,88,13,10
16/02/2023 13:42:03,2908E30,83,14,12
16/02/2023 13:45:57,290EC1B,84,14,10
16/02/2023 13:45:57,290EF53,83,14,12
16/02/2023 13:45:58,290F190,90,12,11
16/02/2023 13:45:59,290F39C,86,13,11
16/02/2023 13:45:59,290F362,90,12,11
16/02/2023 13:45:59,290ED74,86,13,12
16/02/2023 13:46:00,2908E26,86,14,13
16/02/2023 13:46:00,2909460,86,13,12
16/02/2023 13:46:00,290EAD5,84,14,12
16/02/2023 13:46:00,2908BE4,84,13,11
16/02/2023 13:46:01,2908FDA,88,12,10
16/02/2023 13:46:03,2908E30,84,14,11
16/02/2023 13:49:57,290EC1B,84,13,11
16/02/2023 13:49:57,290EF53,84,14,11
16/02/2023 13:49:58,290F190,90,12,12
16/02/2023 13:49:59,290F39C,86,13,11
16/02/2023 13:49:59,290F362,90,12,12
16/02/2023 13:49:59,290ED74,86,13,12
16/02/2023 13:50:00,2908E26,86,13,13
16/02/2023 13:50:00,2909460,86,13,12
16/02/2023 13:50:00,290EAD5,85,14,12
16/02/2023 13:50:00,2908BE4,83,13,11
16/02/2023 13:50:01,2908FDA,89,12,10
16/02/2023 13:50:03,2908E30,86,13,12
16/02/2023 13:53:57,290EF53,85,13,11
16/02/2023 13:53:58,290F190,90,12,11
16/02/2023 13:53:58,290EC1B,84,13,10
16/02/2023 13:53:58,290EAD5,85,13,12
16/02/2023 13:53:59,290ED74,87,13,13
16/02/2023 13:53:59,2909460,86,13,12
16/02/2023 13:54:00,2908E26,87,13,13
16/02/2023 13:54:00,2908BE4,86,13,11
16/02/2023 13:54:01,290F362,90,12,12
16/02/2023 13:54:02,2908FDA,89,12,10
16/02/2023 13:54:04,290F39C,85,13,11
16/02/2023 13:57:57,290EF53,85,13,12
16/02/2023 13:57:58,290F190,90,12,11
16/02/2023 13:57:58,290EC1B,84,13,10
16/02/2023 13:57:58,290EAD5,86,13,12
16/02/2023 13:57:59,290ED74,87,13,12
16/02/2023 13:57:59,2909460,86,13,12
16/02/2023 13:58:00,2908E26,87,13,12
16/02/2023 13:58:00,2908BE4,86,13,11
16/02/2023 13:58:01,290F362,90,12,11
16/02/2023 13:58:02,2908FDA,90,12,10
16/02/2023 13:58:04,290F39C,86,13,11
16/02/2023 14:01:57,290EF53,87,13,11
16/02/2023 14:01:58,290F190,91,12,11
16/02/2023 14:01:58,290EC1B,85,13,10
16/02/2023 14:01:58,290EAD5,86,13,12
16/02/2023 14:01:59,290ED74,88,12,12
16/02/2023 14:01:59,2909460,88,12,12
16/02/2023 14:02:00,2908E26,88,13,12
16/02/2023 14:02:00,2908BE4,87,13,11
16/02/2023 14:02:01,290F362,91,12,11
16/02/2023 14:02:02,2908FDA,90,12,10
16/02/2023 14:02:04,290F39C,86,13,11
16/02/2023 14:05:57,290F39C,87,12,11
16/02/2023 14:05:57,290F190,91,12,11
16/02/2023 14:05:57,2908FDA,91,12,10
16/02/2023 14:05:58,2909460,88,12,12
16/02/2023 14:05:58,290ED74,88,12,12
16/02/2023 14:05:59,290EC1B,86,13,10
16/02/2023 14:05:59,290EF53,87,13,11
16/02/2023 14:05:59,2908E26,87,13,12
16/02/2023 14:06:00,290F362,91,12,11
16/02/2023 14:06:00,2908BE4,87,13,11
16/02/2023 14:06:00,290EAD5,86,13,12
16/02/2023 14:06:00,2908E30,88,13,11
16/02/2023 14:09:57,290F39C,89,12,11
16/02/2023 14:09:57,290F190,91,12,11
16/02/2023 14:09:57,2908FDA,91,12,10
16/02/2023 14:09:58,2909460,89,12,12
16/02/2023 14:09:58,290ED74,89,12,12
16/02/2023 14:09:59,290EC1B,87,13,10
16/02/2023 14:09:59,290EF53,87,13,11
16/02/2023 14:09:59,2908E26,88,13,12
16/02/2023 14:10:00,290F362,91,12,11
16/02/2023 14:10:00,2908BE4,88,13,11
16/02/2023 14:10:00,290EAD5,87,13,12
16/02/2023 14:10:00,2908E30,88,13,11
16/02/2023 14:13:57,290F39C,89,12,10
16/02/2023 14:13:57,290F190,92,12,11
16/02/2023 14:13:57,2908FDA,91,12,10
16/02/2023 14:13:58,2909460,89,12,12
16/02/2023 14:13:58,290ED74,89,12,12
16/02/2023 14:13:59,290EC1B,87,12,10
16/02/2023 14:13:59,290EF53,88,13,11
16/02/2023 14:13:59,2908E26,89,13,12
16/02/2023 14:14:00,290F362,92,12,11
16/02/2023 14:14:00,2908BE4,87,13,11
16/02/2023 14:14:00,290EAD5,88,13,12
16/02/2023 14:14:00,2908E30,88,13,11
16/02/2023 14:17:58,2908FDA,91,12,10
16/02/2023 14:17:58,290EF53,89,12,11
16/02/2023 14:17:58,290F190,91,12,11
16/02/2023 14:17:59,290EC1B,88,12,10
16/02/2023 14:17:59,290F362,91,12,11
16/02/2023 14:17:59,2908E26,88,12,12
16/02/2023 14:17:59,290EAD5,87,13,12
16/02/2023 14:18:00,2908BE4,88,13,11
16/02/2023 14:18:01,2908E30,88,12,11
16/02/2023 14:18:02,290F39C,89,12,11
16/02/2023 14:18:03,290ED74,89,12,12
16/02/2023 14:18:26,2909460,89,12,12
16/02/2023 14:21:58,2908FDA,92,12,10
16/02/2023 14:21:58,290EF53,90,12,11
16/02/2023 14:21:58,290F190,92,12,11
16/02/2023 14:21:59,290EC1B,88,12,10
16/02/2023 14:21:59,290F362,92,12,11
16/02/2023 14:21:59,2908E26,89,12,12
16/02/2023 14:21:59,290EAD5,88,13,12
16/02/2023 14:22:00,2908BE4,87,12,11
16/02/2023 14:22:01,2908E30,88,12,11
16/02/2023 14:22:02,290F39C,89,12,11
16/02/2023 14:22:03,290ED74,89,12,12
16/02/2023 14:22:26,2909460,89,12,12
16/02/2023 14:25:58,2908FDA,92,12,10
16/02/2023 14:25:58,290EF53,90,12,11
16/02/2023 14:25:58,290F190,91,12,11
16/02/2023 14:25:59,290EC1B,88,12,10
16/02/2023 14:25:59,290F362,92,12,11
16/02/2023 14:25:59,2908E26,90,12,12
16/02/2023 14:25:59,290EAD5,89,13,12
16/02/2023 14:26:00,2908BE4,88,12,11
16/02/2023 14:26:01,2908E30,89,12,11
16/02/2023 14:26:02,290F39C,88,12,10
16/02/2023 14:26:03,290ED74,89,12,12
16/02/2023 14:26:26,2909460,89,12,11
16/02/2023 14:29:57,290EAD5,89,13,12
16/02/2023 14:29:58,290F190,92,12,11
16/02/2023 14:29:58,2909460,90,12,12
16/02/2023 14:29:58,290F39C,90,12,11
16/02/2023 14:29:58,290ED74,89,12,12
16/02/2023 14:29:58,2908FDA,91,12,10
16/02/2023 14:29:59,290F362,92,12,11
16/02/2023 14:29:59,290EF53,89,12,11
16/02/2023 14:29:59,2908E26,89,12,12
16/02/2023 14:30:00,2908BE4,89,12,11
16/02/2023 14:30:01,290EC1B,89,12,10
16/02/2023 14:30:01,2908E30,89,12,11
16/02/2023 14:33:57,290EAD5,89,13,12
16/02/2023 14:33:58,290F190,92,12,12
16/02/2023 14:33:58,2909460,89,12,12
16/02/2023 14:33:58,290F39C,90,12,11
16/02/2023 14:33:58,290ED74,89,12,13
16/02/2023 14:33:58,2908FDA,92,12,10
16/02/2023 14:33:59,290F362,91,12,12
16/02/2023 14:33:59,290EF53,88,13,11
16/02/2023 14:33:59,2908E26,89,12,13
16/02/2023 14:34:00,2908BE4,87,13,11
16/02/2023 14:34:01,290EC1B,89,12,11
16/02/2023 14:34:01,2908E30,89,13,12
16/02/2023 14:37:57,290EAD5,88,13,12
16/02/2023 14:37:58,290F190,91,12,12
16/02/2023 14:37:58,2909460,88,13,13
16/02/2023 14:37:58,290F39C,90,12,11
16/02/2023 14:37:58,290ED74,89,12,13
16/02/2023 14:37:58,2908FDA,92,12,10
16/02/2023 14:37:59,290F362,90,12,12
16/02/2023 14:37:59,290EF53,88,13,12
16/02/2023 14:37:59,2908E26,89,13,13
16/02/2023 14:38:00,2908BE4,88,13,11
16/02/2023 14:38:01,290EC1B,88,13,11
16/02/2023 14:38:01,2908E30,88,13,12
16/02/2023 14:41:57,290F39C,89,13,11
16/02/2023 14:41:58,290EAD5,87,13,12
16/02/2023 14:41:58,2908BE4,86,13,11
16/02/2023 14:41:58,290ED74,88,12,13
16/02/2023 14:41:59,2908E30,88,13,12
16/02/2023 14:42:00,2909460,88,13,13
16/02/2023 14:42:00,290EC1B,87,13,11
16/02/2023 14:42:00,2908E26,88,13,13
16/02/2023 14:42:00,290F190,90,12,12
16/02/2023 14:42:04,290EF53,87,13,11
16/02/2023 14:42:04,290F362,90,12,12
16/02/2023 14:45:57,290F39C,88,13,11
16/02/2023 14:45:58,290EAD5,87,13,12
16/02/2023 14:45:58,2908BE4,86,13,11
16/02/2023 14:45:58,290ED74,88,12,13
16/02/2023 14:45:59,2908E30,87,13,12
16/02/2023 14:46:00,2909460,87,13,12
16/02/2023 14:46:00,290EC1B,86,13,11
16/02/2023 14:46:00,2908E26,89,13,13
16/02/2023 14:46:00,290F190,89,12,12
16/02/2023 14:46:04,290EF53,87,13,11
16/02/2023 14:46:04,290F362,90,12,12
16/02/2023 14:49:57,290F39C,87,13,11
16/02/2023 14:49:58,290EAD5,87,13,12
16/02/2023 14:49:58,2908BE4,85,13,11
16/02/2023 14:49:58,290ED74,88,13,13
16/02/2023 14:49:59,2908E30,88,13,12
16/02/2023 14:50:00,2909460,86,13,12
16/02/2023 14:50:00,290EC1B,85,13,11
16/02/2023 14:50:00,2908E26,88,13,13
16/02/2023 14:50:00,290F190,89,12,12
16/02/2023 14:50:04,290EF53,87,13,11
16/02/2023 14:50:04,290F362,91,12,12
16/02/2023 14:53:57,290F39C,86,13,11
16/02/2023 14:53:58,290F190,88,12,11
16/02/2023 14:53:59,2909460,86,13,13
16/02/2023 14:53:59,2908BE4,85,13,11
16/02/2023 14:53:59,290ED74,87,13,13
16/02/2023 14:53:59,290EF53,87,13,11
16/02/2023 14:54:00,2908E30,87,13,12
16/02/2023 14:54:00,290EC1B,85,13,11
16/02/2023 14:54:00,2908E26,89,13,13
16/02/2023 14:54:00,290EAD5,87,13,12
16/02/2023 14:54:01,290F362,89,12,12
16/02/2023 14:57:57,290F39C,86,13,11
16/02/2023 14:57:58,290F190,89,12,12
16/02/2023 14:57:59,2909460,85,13,12
16/02/2023 14:57:59,2908BE4,86,13,11
16/02/2023 14:57:59,290ED74,87,13,13
16/02/2023 14:57:59,290EF53,89,13,12
16/02/2023 14:58:00,2908E30,86,13,12
16/02/2023 14:58:00,290EC1B,85,13,11
16/02/2023 14:58:00,2908E26,89,13,13
16/02/2023 14:58:00,290EAD5,87,13,13
16/02/2023 14:58:01,290F362,89,12,12
16/02/2023 15:01:57,290F39C,86,13,12
16/02/2023 15:01:58,290F190,90,13,12
16/02/2023 15:01:59,2909460,86,13,13
16/02/2023 15:01:59,2908BE4,86,13,11
16/02/2023 15:01:59,290ED74,87,13,13
16/02/2023 15:01:59,290EF53,87,13,12
16/02/2023 15:02:00,2908E30,86,13,12
16/02/2023 15:02:00,290EC1B,84,13,11
16/02/2023 15:02:00,2908E26,88,13,13
16/02/2023 15:02:00,290EAD5,86,13,12
16/02/2023 15:02:01,290F362,88,13,13
16/02/2023 15:05:57,290F190,89,13,13
16/02/2023 15:05:57,290EC1B,84,14,11
16/02/2023 15:05:58,290F39C,85,13,12
16/02/2023 15:05:58,290EAD5,87,14,13
16/02/2023 15:05:58,2909460,85,13,13
16/02/2023 15:05:58,290EF53,87,13,11
16/02/2023 15:05:59,290ED74,86,13,14
16/02/2023 15:05:59,2908E30,85,13,12
16/02/2023 15:05:59,2908E26,88,13,14
16/02/2023 15:06:00,290F362,88,13,13
16/02/2023 15:06:03,2908BE4,87,14,12
16/02/2023 15:09:57,290F190,88,13,13
16/02/2023 15:09:57,290EC1B,83,14,12
16/02/2023 15:09:58,290F39C,83,14,12
16/02/2023 15:09:58,290EAD5,85,14,13
16/02/2023 15:09:58,2909460,86,14,14
16/02/2023 15:09:58,290EF53,86,14,12
16/02/2023 15:09:59,290ED74,87,13,14
16/02/2023 15:09:59,2908E30,85,14,12
16/02/2023 15:09:59,2908E26,86,13,14
16/02/2023 15:10:00,290F362,86,13,13
16/02/2023 15:10:03,2908BE4,85,14,12
16/02/2023 15:13:57,290F190,87,13,13
16/02/2023 15:13:57,290EC1B,83,14,11
16/02/2023 15:13:58,290F39C,85,14,12
16/02/2023 15:13:58,290EAD5,84,14,13
16/02/2023 15:13:58,2909460,84,14,14
16/02/2023 15:13:58,290EF53,85,14,12
16/02/2023 15:13:59,290ED74,86,14,14
16/02/2023 15:13:59,2908E30,85,14,13
16/02/2023 15:13:59,2908E26,86,14,14
16/02/2023 15:14:00,290F362,86,14,13
16/02/2023 15:14:03,2908BE4,83,14,12
16/02/2023 15:17:58,290F39C,84,14,12
16/02/2023 15:17:58,290EC1B,81,14,11
16/02/2023 15:17:58,290EC1B,81,14,11
16/02/2023 15:17:58,290F190,86,14,13
16/02/2023 15:17:58,290ED74,85,14,14
16/02/2023 15:17:58,290ED74,85,14,14
16/02/2023 15:18:00,2908E26,87,14,15
16/02/2023 15:18:00,290EAD5,85,14,13
16/02/2023 15:18:00,290EAD5,85,14,13
16/02/2023 15:18:00,290F362,85,14,14
16/02/2023 15:18:00,2909460,83,14,14
16/02/2023 15:18:00,2908E30,84,14,13
16/02/2023 15:18:00,290EF53,83,14,12
16/02/2023 15:18:00,2908BE4,82,14,12
16/02/2023 15:21:58,290F39C,83,14,12
16/02/2023 15:21:58,290EC1B,80,14,11
16/02/2023 15:21:58,290EC1B,80,14,11
16/02/2023 15:21:58,290F190,85,14,13
16/02/2023 15:21:58,290ED74,84,14,14
16/02/2023 15:21:58,290ED74,84,14,14
16/02/2023 15:22:00,2908E26,85,14,14
16/02/2023 15:22:00,290EAD5,83,14,13
16/02/2023 15:22:00,290EAD5,83,14,13
16/02/2023 15:22:00,290F362,86,14,14
16/02/2023 15:22:00,2909460,83,14,13
16/02/2023 15:22:00,2908E30,83,14,13
16/02/2023 15:22:00,290EF53,84,14,12
16/02/2023 15:22:00,2908BE4,81,14,12
16/02/2023 15:25:58,290F39C,83,14,12
16/02/2023 15:25:58,290EC1B,81,14,11
16/02/2023 15:25:58,290EC1B,81,14,11
16/02/2023 15:25:58,290F190,85,14,12
16/02/2023 15:25:58,290ED74,84,14,13
16/02/2023 15:25:58,290ED74,84,14,13
16/02/2023 15:26:00,2908E26,83,14,13
16/02/2023 15:26:00,290EAD5,82,14,13
16/02/2023 15:26:00,290EAD5,82,14,13
16/02/2023 15:26:00,290F362,85,14,12
16/02/2023 15:26:00,2909460,82,14,13
16/02/2023 15:26:00,2908E30,84,14,12
16/02/2023 15:26:00,290EF53,84,14,11
16/02/2023 15:26:00,2908BE4,82,14,12
16/02/2023 15:29:57,290F190,86,13,12
16/02/2023 15:29:58,290EAD5,84,14,13
16/02/2023 15:29:58,290EC1B,81,14,11
16/02/2023 15:29:58,290EF53,83,14,11
16/02/2023 15:29:58,290F39C,83,14,12
16/02/2023 15:29:59,290F362,84,13,11
16/02/2023 15:29:59,2908FDA,87,13,10
16/02/2023 15:29:59,2909460,83,14,13
16/02/2023 15:29:59,290ED74,83,14,12
16/02/2023 15:30:00,2908E26,84,14,13
16/02/2023 15:30:00,2908BE4,83,14,11
16/02/2023 15:30:03,2908E30,84,14,12
16/02/2023 15:33:57,290F190,87,13,12
16/02/2023 15:33:58,290EAD5,84,14,12
16/02/2023 15:33:58,290EC1B,82,14,11
16/02/2023 15:33:58,290EF53,84,14,11
16/02/2023 15:33:58,290F39C,85,14,11
16/02/2023 15:33:59,290F362,85,13,12
16/02/2023 15:33:59,2908FDA,87,13,10
16/02/2023 15:33:59,2909460,84,13,12
16/02/2023 15:33:59,290ED74,84,13,12
16/02/2023 15:34:00,2908E26,85,14,12
16/02/2023 15:34:00,2908BE4,84,14,11
16/02/2023 15:34:03,2908E30,85,14,12
16/02/2023 15:37:57,290F190,87,13,11
16/02/2023 15:37:58,290EAD5,85,14,12
16/02/2023 15:37:58,290EC1B,83,14,11
16/02/2023 15:37:58,290EF53,85,13,11
16/02/2023 15:37:58,290F39C,84,13,11
16/02/2023 15:37:59,290F362,86,13,12
16/02/2023 15:37:59,2908FDA,89,12,10
16/02/2023 15:37:59,2909460,85,13,12
16/02/2023 15:37:59,290ED74,85,13,12
16/02/2023 15:38:00,2908E26,86,13,12
16/02/2023 15:38:00,2908BE4,84,13,11
16/02/2023 15:38:03,2908E30,86,13,12
16/02/2023 15:41:58,290F39C,85,13,11
16/02/2023 15:41:58,290EF53,86,13,11
16/02/2023 15:41:58,290F190,88,12,12
16/02/2023 15:41:58,2909460,85,13,12
16/02/2023 15:41:58,290F362,87,13,12
16/02/2023 15:42:00,2908E26,86,13,13
16/02/2023 15:42:00,290EAD5,86,13,12
16/02/2023 15:42:00,290ED74,85,13,12
16/02/2023 15:42:00,2908BE4,85,13,11
16/02/2023 15:42:01,2908E30,86,13,12
16/02/2023 15:42:02,290EC1B,84,13,11
16/02/2023 15:45:58,290F39C,85,13,11
16/02/2023 15:45:58,290EF53,86,13,11
16/02/2023 15:45:58,290F190,89,12,12
16/02/2023 15:45:58,2909460,86,13,12
16/02/2023 15:45:58,290F362,87,13,12
16/02/2023 15:46:00,2908E26,86,13,13
16/02/2023 15:46:00,290ED74,86,13,12
16/02/2023 15:46:00,290EAD5,85,13,12
16/02/2023 15:46:00,2908BE4,85,13,11
16/02/2023 15:46:01,2908E30,86,13,12
16/02/2023 15:46:02,290EC1B,83,13,11
16/02/2023 15:49:58,290F39C,86,13,11
16/02/2023 15:49:58,290EF53,86,13,11
16/02/2023 15:49:58,290F190,88,12,11
16/02/2023 15:49:58,2909460,85,13,12
16/02/2023 15:49:58,290F362,88,12,12
16/02/2023 15:50:00,2908E26,87,13,13
16/02/2023 15:50:00,290EAD5,87,13,12
16/02/2023 15:50:00,290ED74,86,13,12
16/02/2023 15:50:00,2908BE4,85,13,11
16/02/2023 15:50:01,2908E30,87,13,12
16/02/2023 15:50:02,290EC1B,85,13,11
16/02/2023 15:54:09,290EAD5,86,13,12
16/02/2023 15:54:22,290EF53,88,13,11
16/02/2023 15:54:27,2908E26,86,13,12
16/02/2023 15:54:30,290F39C,86,13,11
16/02/2023 15:54:31,290F362,89,13,12
16/02/2023 15:54:34,2909460,86,13,12
16/02/2023 15:54:35,2908BE4,85,13,11
16/02/2023 15:54:38,290EC1B,84,13,11
16/02/2023 15:58:09,290EAD5,88,13,13
16/02/2023 15:58:22,290EF53,87,13,11
16/02/2023 15:58:27,2908E26,88,13,13
16/02/2023 15:58:30,290F39C,86,13,11
16/02/2023 15:58:31,290F362,88,12,12
16/02/2023 15:58:34,2909460,86,13,12
16/02/2023 15:58:35,2908BE4,86,13,11
16/02/2023 15:58:38,290EC1B,84,13,11
16/02/2023 16:02:09,290EAD5,88,13,12
16/02/2023 16:02:22,290EF53,88,13,12
16/02/2023 16:02:27,2908E26,87,13,13
16/02/2023 16:02:30,290F39C,85,13,11
16/02/2023 16:02:31,290F362,88,12,12
16/02/2023 16:02:34,2909460,86,13,12
16/02/2023 16:02:35,2908BE4,86,13,11
16/02/2023 16:02:38,290EC1B,85,13,11
16/02/2023 16:05:57,290F39C,85,13,11
16/02/2023 16:05:57,290EC1B,84,13,11
16/02/2023 16:05:58,2908FDA,89,12,10
16/02/2023 16:05:58,290F190,89,12,11
16/02/2023 16:05:58,290EF53,87,13,11
16/02/2023 16:05:58,2908E26,88,13,12
16/02/2023 16:05:59,2909460,86,13,12
16/02/2023 16:05:59,2908BE4,85,13,11
16/02/2023 16:05:59,290EAD5,87,13,12
16/02/2023 16:06:00,2908E30,86,13,12
16/02/2023 16:09:57,290F39C,85,13,11
16/02/2023 16:09:57,290EC1B,85,13,11
16/02/2023 16:09:58,2908FDA,90,12,10
16/02/2023 16:09:58,290F190,89,12,12
16/02/2023 16:09:58,290EF53,87,13,11
16/02/2023 16:09:58,2908E26,88,13,12
16/02/2023 16:09:59,2909460,87,13,12
16/02/2023 16:09:59,2908BE4,86,13,11
16/02/2023 16:09:59,290EAD5,86,13,12
16/02/2023 16:10:00,2908E30,87,13,11
16/02/2023 16:13:57,290F39C,86,13,11
16/02/2023 16:13:57,290EC1B,85,13,11
16/02/2023 16:13:58,2908FDA,90,12,10
16/02/2023 16:13:58,290F190,90,12,12
16/02/2023 16:13:58,290EF53,88,13,11
16/02/2023 16:13:58,2908E26,88,13,12
16/02/2023 16:13:59,2909460,87,13,12
